instance,time_taken,optimal_cost,global_optimal_solution,rl_actions,rl_gap,rl_permutation,sa_gap,sa_permutation,bb_gap,bb_permutation,gurobi_gap,gurobi_permutation
cqap_40_9,70,953100,"[ 2 36  9  8 27 17  3 39 28 16 13 33 22 10  5 29 15 34  0 31 11  4 21 23
 19 20 37 12 25 26 32 30  6 14  7 24 35 18 38  1]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS']",0.0,"[ 2 36  9  8 27 17  3 39 28 16 13 33 22 10  5 29 15 34  0 31 11  4 21 23
 19 20 37 12 25 26 32 30  6 14  7 24 35 18 38  1]",1074026.0,"[20 24 19 38 32  7 12  1 26 34  6 11 35 14  2  9 21  3  8 29 13 15 25 37
  5  0 28 10 27 22 23 36 30 18 17 39 33  4 16 31]",1452820.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  2  6  3  7  8  1  4  0  5]",1794320.0,"[14  8  3 23 11 17 12 10  0  5 20  7 30 34 24 27 31 22  6 32 33 19 35 16
 36  9 13  2 37 26 28 38  1 29 25 21 39  4 18 15]"
cqap_40_12,65,983506,"[34 31 14  9 16 30  6 26  1  4 21 22 33 39 23  8 11 32 25 28 35  2  3 29
 20 10 27 12 37 36  5 19 13  0 24 17 15  7 18 38]","['START', 'FW_LSG']",0.0,"[34 31 14  9 16 30  6 26  1  4 21 22 33 39 23  8 11 32 25 28 35  2  3 29
 20 10 27 12 37 36  5 19 13  0 24 17 15  7 18 38]",1042572.0,"[ 7 18 16 22 33 27 32  3 13 37 39 14 36 29 21 28 11 23  4  9 38 34 31  5
 19 10 25 26 20  8 30  2 12 35 17 24 15  1  6  0]",1375104.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  8  7  4  1  3  2  5  0  6]",1675762.0,"[35  4 20  1  9  6 30  8 39 38 28  3 29 33  7 17 31 34 12 25 16  0 36 27
 18 10 14  5 24 22 11 32 19 37  2 23 15 13 21 26]"
cqap_40_14,65,972538,"[30 33  1 28 31 36 37 39  8  5  4 10 20 15  7 38 12 21 35  3  0 22  2 29
 17 13 14 27 19 34  6 24 11 25 16 26 32 23  9 18]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS', 'FW_LSG']",0.0,"[30 33  1 28 31 36 37 39  8  5  4 10 20 15  7 38 12 21 35  3  0 22  2 29
 17 13 14 27 19 34  6 24 11 25 16 26 32 23  9 18]",1060600.0,"[ 1 32 36 30  8 15 23 35 37 26  3 34 28  2 24 25 17 11 38 21 29  0 14 33
  4 27 22 20  9 10 39 12 31 16  7  6 13 19  5 18]",1522664.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  8  4  6  7  9  5  0  2  3  1]",1668476.0,"[ 7 17 26 37 24 19 30 13  0 14 12 25 38 27 23  9 29 10  6 20  8  3 35 32
 34 36 33 18  1  4  2 15 28 21 11 39 16  5 22 31]"
cqap_40_15,68,972748,"[25 14 20  2 22  5 29  6 23 37 15  4 39 12  7 11 35  0 38 33 16 36 18 32
 17  9 27 13  1 24 10 31 34 30 28 26  8  3 21 19]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS', 'FW_LS']",0.0,"[25 14 20  2 22  5 29  6 23 37 15  4 39 12  7 11 35  0 38 33 16 36 18 32
 17  9 27 13  1 24 10 31 34 30 28 26  8  3 21 19]",1031632.0,"[35  1 19 20 21  3 23 36 33 39 17 34 13 24 25 30  8  4  2  9 27 16 26 18
 14 29  6 28 31 32  5 15 12  0  7 22 10 38 37 11]",1448316.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  7  3  9  0  2  1  5  4  8  6]",1591056.0,"[24  4 35 31 39  5 19  3 23 25 12 32 11 16 36  1 22 29 30 34 26 38  8 27
 21 37 20 13  7 14 17 28  6 18  2 10 33  9  0 15]"
cqap_40_24,69,932368,"[17 28 32 26  3 15 36 31 20  1 21 29 33 34 14 25 16  9 37  4 22 27 30  7
 13 38 35  6 10 24 19  0 11 23 18 12  2  8 39  5]","['START', 'FW_LSG', 'OC', 'OC', 'SA', 'FW_LSG']",0.0,"[17 28 32 26  3 15 36 31 20  1 21 29 33 34 14 25 16  9 37  4 22 27 30  7
 13 38 35  6 10 24 19  0 11 23 18 12  2  8 39  5]",1121588.0,"[15  6 39 22 30  0 19  2 16 13 27  7 28 29 35 31 25  1 11  4 23 38 14 10
  9 34 18 20 37 24 26 12  5 33 32  3  8 17 36 21]",1517822.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  7  4  0  3  5  8  2  6  1  9]",1641462.0,"[12 32 22  5 16 11 27 14  3 38 19 18  2 17 34 33 29  8 26 20 30  6 36 15
 21 31  7  1 39 13  9  4 35 37 25 23 28 24 10  0]"
cqap_40_30,65,949374,"[ 1 29 20 30 13 26 14 15 39 28 37 18 22 25  8 36  3 24 27 23 21  4 17 32
  9 38  0 19  7 11 35 16 31 10 33  5 12 34  2  6]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS', 'OC', 'FW_LSG', 'FW_LSG']",0.0,"[ 1 29 20 30 13 26 14 15 39 28 37 18 22 25  8 36  3 24 27 23 21  4 17 32
  9 38  0 19  7 11 35 16 31 10 33  5 12 34  2  6]",1068496.0,"[ 3 17 30  9  6 19 29 20 14 31  2 10  5 25 39  1 35 36 37  4 18 26 11 27
  8 22 33 23 28 34 24 21  7 32 15 38 12  0 16 13]",1449482.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  7  4  9  0  6  5  2  3  8  1]",1659710.0,"[29 25 37 19 30 10 15 31 38 16  2 28 32  1  9 13 23 39  8 12 17  5 21 27
 11 26 24 18  4 14  0  6 34 36 33 22  7  3 35 20]"
cqap_40_31,67,955450,"[ 6 15 29  4 24  0 28 25 34 23 38 14  8  5 36 21 22 30 39 10 16 35  1 26
 13  9 18 19 20  2 32  3 17 11 33 31 27 37  7 12]","['START', 'FW_LSG']",0.0,"[ 6 15 29  4 24  0 28 25 34 23 38 14  8  5 36 21 22 30 39 10 16 35  1 26
 13  9 18 19 20  2 32  3 17 11 33 31 27 37  7 12]",1074878.0,"[27  6  7 11  4  2  8 24 25 13 37 28 16 39 18 12 32 35  1  5 38  9 10 30
 17 22  3 21 29 23 15 26 31 33 34 36  0 14 19 20]",1382834.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  3  6  2  0  1  5  7  8  4]",1681454.0,"[25 11  5 22 15 14 32 29  0 38 36 16 30 34 13  9 31 35 23 39 10 26 17  8
  1 24 28  2  7 27 18 33 20  6 37  3 21  4 19 12]"
cqap_40_41,69,950070,"[ 7 12 20 31 25  9 35 24  1  6 10 34 13 23  2 26  4 11 22 29 17 32 28 36
  0 18 15 33  5 38 19  8 16 30 39 21  3 14 37 27]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS', 'OC', 'FW_LSG']",0.0,"[ 7 12 20 31 25  9 35 24  1  6 10 34 13 23  2 26  4 11 22 29 17 32 28 36
  0 18 15 33  5 38 19  8 16 30 39 21  3 14 37 27]",1098460.0,"[32  8 17 20 22 24 18 21  4 15 39 29 14 28  2  0 33 37 12 10 38  7 27 19
 36 30 11  5 13 31 23 34  6 35  1  3 26 16  9 25]",1504710.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  7  5  2  8  1  0  9  4  6  3]",1759534.0,"[ 1 38 18 25 29 28 32 17 23 14 34 24 21 36 27  0  5 26 35  9 10 37 31  8
 16  6 20 15 12  2  4 13 33 11 39  3 22  7 19 30]"
cqap_40_45,69,953076,"[ 3 13 24 25  7  1 27 39 23 31 37  2 33 21 18 28  6 38 26 36 34 19 11 29
 14  8 32  5 12  0 15 35  9 10 17 22 30 16 20  4]","['START', '2O', 'FW', 'OC', 'SA', 'FW_LSG', '2PO', 'FW_LSG', 'OC', 'SA', 'SA', 'FW_LSG']",0.0,"[ 3 13 24 25  7  1 27 39 23 31 37  2 33 21 18 28  6 38 26 36 34 19 11 29
 14  8 32  5 12  0 15 35  9 10 17 22 30 16 20  4]",1108818.0,"[32  5 19 13 31 36 28  3 16 35 25 33  8 22 27  7 29 14 17  4  9 12 11  2
 10 15 30 21 23 34 39 38 24  6  1 20 26  0 18 37]",1438308.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  4  5  0  8  7  1  3  6  2]",1651760.0,"[37 32 34 36 20  4 25 30 15 16 11  3 28 14 12 26 24  6 23  7  2 13 39  9
 22 27 18 17 21  0 29 19 33  1  5 10  8 31 38 35]"
cqap_40_53,69,967396,"[12 31  0 10 25 37 17 14 24 22  3  4 16 11 35 21 27 38  1 15  5  2 13 28
  6 39 20  8  7 34 30 36 26 19 23 18 32 33 29  9]","['START', 'FW_LS', 'FW', 'OC', 'SA', 'FW_LSG']",0.0,"[12 31  0 10 25 37 17 14 24 22  3  4 16 11 35 21 27 38  1 15  5  2 13 28
  6 39 20  8  7 34 30 36 26 19 23 18 32 33 29  9]",1074482.0,"[33  2 35  8 11 12 17 10 18 14 20  4 38 25 22 29  3 31 34 15 13 37 27  5
  6 23  1 16  9  0 36 26 30 19 39 32  7 21 28 24]",1594578.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  6  2  3  4  1  5  7  0  8]",1652204.0,"[15 21 35 24 11 16 37 38 27 25  3  2 20 39 19 36 12  6 32 18 33  0 13  7
  9  8 10 30 23 31 29  4  1 28  5 14 26 22 17 34]"
