instance,time_taken,optimal_cost,global_optimal_solution,rl_actions,rl_gap,rl_permutation,sa_gap,sa_permutation,bb_gap,bb_permutation,gurobi_gap,gurobi_permutation
pqap_70_8,105,3794200,"[19 17  7  4  0 52 38 27 45 28  6 67 21  9 68 31 47 37  2 61 66 64 56 54
  3 58 10 29 63 26 34 59 16 43 51 55 25  5 44 50 33 20 23 60 62 12 48 13
  8 42 30 39 41 15 69 49 18 46 40 36  1 57 32 53 14 24 65 35 11 22]","['START', 'FW_LSG', '2O', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",13672.0,"[30 52 68 10 50  4 13 44 61 67 58  0 39  8 33 46 22 55 36  7 29 48 14  2
  1 35 49 40 24 69  6 51 66 63 20 60 54 11 16 59 12 17 18 56 37 31 65 41
 43 21  3 38  5  9 34 64 45 62 25 47 42 15 28 27 53 19 26 32 57 23]",30032.0,"[21 27 56 35 58 10 20  8 53 52 19 32 25 38 12 54 69  9 63 36 23 57 62 31
 11 29 64 41  0 28 33 26 51 24 14  5 37 18 48 47  7 66 30 67 44 42 50 43
 34 40 13 17 61 49 68 16 59 15  4  3  6 22  2 39 65 46 55  1 60 45]",102348.0,"[38 41 11 27 55 19  3 64  9 44 51 62 16 25 40 58 66 69 35 49 60 48  1 53
 18 21 12 50 17 67 29  8 24 10 57 52 32 56  5 26 61  7 23 28 43 68  6 45
 39  0 59 20 30 37 42 46 15 54 36 34 33 63 22  4 31 65 14 13  2 47]",81936.0,"[ 3 23 45 69 61 56  0 17 29 32 36 60 54 28 58 43 62 19 16  1 14 66 27 34
 64  9  5 21 40 48  6 55 33 35 46  2 47 65 26 41 18 24 13 22 37 52 51 12
 44 38 50 68 30 49 11 59  4 67 57 31 63 39  8 15 42  7 10 53 20 25]"
pqap_70_11,110,4661230,"[64 66 26  5 25  4 21 35 13 23 59 40 48 31  3 53  0 14  2 52 20 12 67 58
 45 65 47 69 39  8 34 44 43 11 62  7 17 37 54 29 33 41 27 55  1 46 16 36
 51 22 61  6 68  9 50 60 56 24 10 15 32 19 28 18 42 49 57 38 30 63]","['START', 'FW_LSG', '2O', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",16208.0,"[35 60 47 36 28 52 21 45  3 25 14 19  0 48 69  7 40 11 22  1 31 10 34 13
 50  9 64 37  5 41 43 58 30 17 39 29 42 65 23 68 20 53 62 66 55 46  4 56
 33 38 49 16 61 51  2 57 32 24 18 12 15 26 59 44 67  6 54 63 27  8]",37432.0,"[30  9 36 56 55 68 14 34 58 41 45 63 50 29 10 46 17 23  6 69 18 61 57 32
 67 39  0 20 26  2 24 40 49 19 31 59  1 51 22 11 33  8 62 27  7 35 28 13
 66 54 37 60  4 44 52 15 16 12 25 48 38 65 43  3 42 53 47 64 21  5]",124156.0,"[ 6 60 64 33 20 49 61  0 66  3 14 19 12 15 58 39 45 11  9  4 28 18 42 29
 16 31 46 51 32 34 59 48 24 38 17 63 57 54 10  8 65 27 37 22 35 13 30 44
 55  2 40 43 47 56  7  1 25 36 23 50 69 21 41 53  5 68 62 52 26 67]",110792.0,"[ 6 13 11 19  2 39 30 24 16 42 21 51 26 58  1 62 36 66  7 28 65 68 69 46
 64  4 50 61 14 53 12 23 48 47 63 54 35 49 25  9 45  5 57 10 31 55 20  3
 38 41  8 29 60 56 40 59 44 33 18 32 17 34 37 52  0 27 22 67 43 15]"
pqap_70_14,110,4854848,"[25 54 67 12 48 19 28  2 38 30 14 50 43 20 39 31  5 44  9 34 60  8 47 10
 63 26 41 40 42  1 22 23 37 11  4 46 27 45 33 52  6 66  0 69 61 56 15 32
 58 29 65 24 64 13 21 62 49 17  3 35 51 18  7 53 57 16 55 68 36 59]","['START', 'FW_LSG', '2O', 'OC', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",14768.0,"[58 43 49 32 54 45  9 40 60 63 46 23 21 34 10 29 39 59 55 42 16 37 22 27
 68 17 69  6  2 57 41 33 14 15 26 11 31 30 64 67  3  7  5 19 62 36 28 65
 44  0  1 35  4 52 18 61 25 56 47  8 53 50 38 48 66 51 13 20 12 24]",31880.0,"[41  4 38 36 50 26  2  9 27  6 24 52 55 19 32 42 22  7  8 48 66 16 34 20
 60 39 57 47  5 21 13 25 46 15  0 51 35 37 29 28 12 14 10 65 18  1 49 30
 54 63 45 61 58  3 64 31 68 67 62 53 33 56 44 59 43 17 11 40 23 69]",113208.0,"[16 43 44 39 66 55 68 26 45  1 53  3 30 37 48 42 36 60 35 33 20 28 58 12
 18 40 14  7  9 59 27 57  5 32 47  0 24 21 15 63 49 23 65 38 17 56 11 46
  8 41 22 25  6 13 51 19 64 34 54  2 61  4 62 31 29 69 50 67 10 52]",99128.0,"[55 16 32 34 29 39 41 30 23 26 27 66 54 19 17  9 31 14 13  5 28 38 35 25
 20 60 42  6 21 37 50 40 53  2 49 36 67 33 58  7 45 63  0  3 12 15 52 44
 62  8 56 65 51 10 64  4 11 61 18 24 48 46 47 69 43 59  1 57 22 68]"
pqap_70_42,110,5054720,"[ 2 69 18  7 27 37 41 38 65 34 59 62 25 44 64 67 10 56 28 57  4 30 32 46
 22  5 20 50 58  0 14 61 68 40 13  1 24 55 42 12 60  8 11 36  9 47 52 23
  6 63 51 43 35 29 26 15 48 49  3 17 31 45 19 39 21 33 16 54 53 66]","['START', 'FW_LSG', '2O', 'OC', 'SA', 'SA', 'SA', 'OC', 'OC', 'SA', 'SA', '2O']",16024.0,"[14 57  8 26 35 58 36 20 11 63 30  6 46 47 12  9 51 29  3  2  7 39 22 61
 68 25 44 19 16 55 54 31 23 62 56 13 33 27 28 45 10 41 50  5 53 17  1 67
  4 34 64 43 15 40  0 69 48 24 66 32 60 42 38 49 52 59 21 37 18 65]",35908.0,"[37  6 26 47  7 62 39  9 29 55 51 60 41 31 14 12 27 19  3  5 17 11 48 49
 18 57 23  2  1 59 50 24 25 30 54 66 65 21 53 46 61 32 63 52 56  8 58 20
  4 10 43 35  0 40 68 42 44 34 36 33 28 67 64 69 15 38 22 45 16 13]",117648.0,"[14 65 18  7 48 10 57 36 46 56 42 50 60  6 15 62 63  1  0 25 53 24  3  9
 68 54 67 37 12 26 64 22 32  5 34 47 49 66 27  4 43 16 41 13 33 38 11 28
 55 61 20 51 45 40 21  8 19 35 17 59 30 52 29 31  2 58 44 23 39 69]",122036.0,"[47 48 56 21 54 68 32 31 57  4 67 23 40 66 62  5 35 38  7 45 34 36 55 53
 49  9 37  8  1 22 20 24 69 29 10 64 43 17 14 18 46 30 13 25 19 63 27 16
 42  3 41 12 15 59 26 58 44 33  0 60 61 39 52 50  2 51  6 65 11 28]"
pqap_70_46,110,5138120,"[59 41 40 53 60 69  4 33 29 64 36  0 26 47 63 38 15 37 45 68 65 14 58 61
 46 67  8 16  7 20 51 12 66 62 27 31  3 39 56 54 17 42 50 44  6 34 23  2
 22  9  1 25 35 19 13 24 48 43 52 49  5 55 10 30 32 57 28 11 21 18]","['START', 'FW_LSG', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",14556.0,"[ 9 26 60 18 63 19 30 42 20 34 28 50  8 69 29 12 39 14 62 22 38 32 57 23
 21 58 52 25 41 10 31 45 16 33  5 36 24 37 67 11 49 59 68 65 54 44 13  0
 51 53  1 64  6 15  7 40 56  2  3 55 61 66 46 43 47 27  4 48 35 17]",32648.0,"[68 35 62 51 13  9 36 65 46 31  1 19 67 22 43  2 32  7 60 28 64 41 38 21
 37 24 69 16 20 58 39 52 10 12 14 63  3 25 50 53 56 30 42 18 17 47 33  5
 15 23 57 49  4 40  8 34 29 61 11 55 48 45 26  6 59 54 44 27 66  0]",98144.0,"[27 57 29 25 46 52 59 41 63 10 39 19 23 45 20 22 69 50  8 60 17 55 30 26
 67  6 18 65 58 13 31 64 16 14 66  7 28 21 68 35  9  5 44  0 43 49 62 54
  4 38 36 24 56  2 53 42 15  3 40 47 33 37 51 48 11 12 61 32 34  1]",138168.0,"[12 67 46 27 69  0 11 25 39 40 47 13 63 45  1 34 28 37 30 54 65 61 31 36
 58 16 41 60 44 56 38  6 33 24 32  5 57 50 23  2 21 51 66  4 15 55  9 17
 35 18 26 53  3 22 48  8 62 19 43  7 42 64 20 14 59 52 10 29 49 68]"
pqap_70_49,105,5089128,"[20 23  4 53 21 48 36 17 35 42 26  6 55 33 57 66 43 13 69 31 56 41 19 63
 67 30 25 50  3  5  7 24 28 14 11  1 59 61  0 44 16  8 12 29 49 15  2 46
 68 62 47 37 39  9 51 38 54 64 58 40 52 27 60 34 65 22 10 32 45 18]","['START', '2O', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'OP', '2O']",15800.0,"[53 31 61 42 51 26  3 62 14 13 65  2 12 21 24 28  1  6 41 15  8  9  7 57
 34 10 66 54 60 37  5 69 11 18  4 59 33 43 64 49 29  0 36 56 46 20 63 32
 22 27 38 30 58 25 19 23 40 48 17 52 44 67 68 55 47 39 45 16 50 35]",34584.0,"[16 25 52 68 64  7 37 59 20 24 47 51 17 45 36 31 28 18  2  5 32 35 23 67
 38 41 49 58 61  9 50 42 12 19 29 63 62  1  4  0 39 55  3 60 21 53 40 15
 34 65 43 57 69 33 44 10 11 14  6 48 26 27 56 46 13 66 22 54  8 30]",105008.0,"[64 52 63 50 14 13 42 19 35  9 18 16 12 58 48  4 27  8 44 20  7 54  5 30
 38  1 61 31  3 40 24 17 59 25 51 46 26 65 57  0 47 37  6 36 62 34 68 66
 69 22 43 28 15 55 39 53 11  2 21 67 10 32 41 45 60 56 49 29 33 23]",110428.0,"[36 51 44 40 24 47 65 14 43 32 37 29  9 54 49 66 15 58 67  7  5 46 55 33
 35 60 12 19 13 38 48  2 41  3 45 68 28 53 26 62  0 27 64 57 16 21 10 23
 63 17 31 30  6 42 20 56 59 52  4  8 18 50 25 69  1 61 22 34 39 11]"
pqap_70_62,105,4048968,"[39 24 36 28 43 42 18  2 50 34 12 33 29 52 17 21 27 58 57 15  7 65 23 11
 63 35  1 48 19 32 38  3 69 51 16 37 46 61 54 49 56  6 47 68 20  4 41 10
 66  8 30  5 22 40 59 31 53 64  0 62 45 67 25 13 26  9 44 60 14 55]","['START', 'FW_LSG', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'FW', 'OC', '2O']",12224.0,"[11 13 23 55  0 63 17 26 21  6  9 64 22 65 57 42 25 18 37 66 10 46 54 48
 60 12  3 24 69 43 59 56 27 38 53 35 50 51 16 36 20 34 19 40  7 28 61 15
 62 52 29 68 67 47 39 58 32  5 41 14 33 31  1  4  8 44  2 49 45 30]",27704.0,"[20  9 60 11 54 18 23 16 51 37 26 43 36  6 34 48 10 25 65 21 33 67 41 35
 68 28 39  8  4 19  5 14 32  7 31 59 46 15 17 42 30 27 49 12 53 24 61 50
 58 64 29 40 45 66 57 69 47 13 63 38 55 62  2 44  3  1 22  0 52 56]",80984.0,"[54  6 10 47  4 19 56 50 51 26 60 64 25 36 14 15 62  3 49 53 44 34 67 20
 30 23 33 55 46 12 40 22 52 68 45  8 35 43 58 48 13 11 24 65 69 66 61  9
 39 17  2 31 42 21 16 37 38  1  5 27  7 29  0 18 59 57 32 41 63 28]",94800.0,"[25 54 64 32 67 41 47 24 49 57 33  9 37 39 27 48 65 28 23 11 40 14  6 29
 63 13 38 10 34 30 69  4  2 36 42 43 35 44  1 31  7 51 60 68  5 55  8 20
 45 26 18  0  3 21 58 16 19 62 56 61 50 15 66 22 12 53 59 46 17 52]"
pqap_70_68,110,5373000,"[28 51 23 25 66 27 57 53 19 29 59 60 10 15 26 54  1 64 50 69 67 61 68 58
  0 42 32 12  8 47 46 52 30 13  7 41 33 20 34 40  4 38  3 65 48 36 22 49
 56 44 17 11 24 43 62 45  9  2  6  5 35 39 21 18 37 14 55 63 16 31]","['START', 'FW_LSG', '2O', 'OC', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",15124.0,"[61 38 36 42 59 34 44 40 26 43 69 25 15 20 27 29 47 37 46 58 13 65 12 50
 55 10  7 16 32 67 57 33  1 23  5 17 68 48  8  3 62  9  2 60 30  4 49 39
 51 28 63 18 53 14 35 31  0 22 45 41  6 64 66 56 11 24 21 52 19 54]",33988.0,"[14 58  6 32 34 43 54 41 38 10 33 37 45 16 40 26 18 57 65  0 47 35 21 27
  5 39 61 23 28 56 60 63  7  4 44 19 25 17 53 20 29 68  9  1 30 46 13 66
 31  8 59 42 62 11 51 69 22  3 64 12 24 48 15 52 49 36 67 50 55  2]",122796.0,"[ 4 24 30 29 47 44 46 40  0  6 59 13  7 41  3 68 45 10 62 55 35 34 18 21
  8 15 14 54 53 50 67 57  2 23 31 11 66 65 25 37 51 48 49 19  5  9 56 33
 32 64 63 28 16 27 17 20 58 38 42 12 36 22 60 39 52 61 26  1 43 69]",120216.0,"[47 30 39 32 25  7 59 20 29 13 51 33 48 27 24 18 64  0 61 60  1 50 57  2
 45 43 34 26 58 42 69  5 66 55 52 31 21 65 36 37 67 12 22 56 62 49 10  9
 38 14 16  6 23 54  8 68 63  4 40 17 44  3 46 35 15 53 28 41 11 19]"
pqap_70_76,110,5489694,"[40 52 49 66 22 68 24 48 14 50  5 53 35  4 55 15  6 34 62  9 26 10 29 63
 46 58 45  2 60 25 27 18 39 61  8  3 69 32 38 36  7 44 19 31 42 54 28 11
 23 17  0 12 59 21 33 41 47 67 65 64  1 57 30 16 51 20 13 37 56 43]","['START', 'FW_LSG', '2O', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",14448.0,"[59 68 23 49 40 53 15 51 44 21  9 65 32 22 41 17  2 47 14 12 18 27 61 28
 57 58 67 30 63  6 29 19 60 26 69  4 42 45 35 43  3 54 36 46 48 20 31  7
  1  0  5 10 37 66 55  8 64 52 50 13 24 33 62 16 56 39 34 38 11 25]",34540.0,"[69 27 42 14 47 65 28 51  9 35 61 37 55 41 29 56 18 11  3 13 52 45 68 22
 21 49 23 30 15 50 57 38 44 59  0 46 32 40 63 19 20 10 34  6 64 39 24  4
  2 31 17 12 54 66 53 62  8 33 25 67 36 16 26 43  5 58  7  1 60 48]",95760.0,"[36 19 40 42 32 23 18 69 49  9 67 62 65 14 60 30 61 46 25 43 50 64 53 48
 63 38 15 13  1 66 68 34 37 29 51  2 52 41 59  8 31 10 28  5 58 35 16 55
 11  3 44 27  4 22 56  0  7 57 21 33 45 24 39 20 47  6 26 17 12 54]",105720.0,"[41 39 54 25  1 59 26 63  9 38 55 65 24 60 68 30  0 62 61 50 51  7 18 53
 52  5  2 47 48 15 42 66 27 40 29 37  4 32  6 20 23 57 14  3 35 46 16  8
 12 28 67 69 44 33 36 22 13 49 64 43 45 34 10 17 11 19 31 56 21 58]"
pqap_70_79,108,4817520,"[ 1 44 60 32 28  2 24 36 11 38 66 47 51 29 62 20 48 22 42 61 56 52  0 67
 19 64 10 34 27 17 21 68  8 31 37 59 50 33 13 69  5 30 15 45 54  9 55 57
 53 41 46 23 39 18 49 25 26 65 14 63 43 40 35 16 12  7  6  3 58  4]","['START', 'FW_LSG', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",15768.0,"[38 42 46  1 50 37 49 19  2  3 13 58 47 25 48 53 36 65 17 66 29 34 62 10
 54  9 21  6 18  7 68 30 23  5 43 69 40 61 39 63 67 12 15  0 44 55 16 32
 45 57 28 24 26 11 27 52 51  8 59 64  4 22 60 33 20 41 14 56 31 35]",38400.0,"[43 17 44 39 36 45 34 33  8  7 56 27 61 53 20 32 15 12 59 66 54 46 60 11
 18 51 26 58 28 37 67 42 21  6  3 30 48 62  2 64 65 23 69 50 13 25  4 57
 24 19 52 35 14 55  5 22 41 68 38  9  1 16 63 10 40 29 49 31  0 47]",95676.0,"[69 60 25 19 17  3  8 62  7 29 52 31 34 36 51  5 61 33 13 35 40 41 24 66
  1 59  4 43 32 10 12 11 58 21 54 18 45 28 37 57 49 67 64 26 48  0 42 53
 38 23 27 46 50 16 44 14 15  6 55 56 68 39 22 63  2 30 20  9 65 47]",126480.0,"[49 52 43 66  0 12 26 61 16 59 29  5 13 18 20 10 42  7 62 46 63 55 34 39
 38 68 50 33 40 15  6 23 56 28 48 67  2 60 37 11  4 14 35 41  9 45 36 58
 65 57 19 53 64 30 22 44 17 24 27 21  1 31  3 51 54 32 69  8 47 25]"
