instance,time_taken,optimal_cost,global_optimal_solution,rl_actions,rl_gap,rl_permutation,sa_gap,sa_permutation,bb_gap,bb_permutation,gurobi_gap,gurobi_permutation
pqap_20_5,20,70604,[ 9 18  1 17 11 19 12 13  8  3  6 10 14  0  5  2  4  7 15 16],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",256.0,[17 14  2 19 10  6  9  3  1  7 12 18 15 11  5 13  4 16  8  0],492.0,[13 15  6 16  1 14  2 17  7  8  4 11 19  5 10  0  9  3 12 18],1056.0,[19 18 17 16 15 14 13 12 11 10  9  8  2  5  1  6  0  7  3  4],3448.0,[ 3 10 18 17 19  8  7  5  6 13 15  0  2 12  9 14  4 11  1 16]
pqap_20_14,20,71724,[ 7  4  5 16 17  6 12 13  2  1 10 19 18  3  9  0  8 11 14 15],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",216.0,[14  4 13 12 17  6  5 18  2  1 10 19 16  3  9  0 15 11  7  8],660.0,[10  3  9 12  4  7 16 17 13 18  2  6  8 15  1  5 14  0 11 19],1580.0,[19 18 17 16 15 14 13 12 11 10  9  6  5  1  8  3  4  7  2  0],3236.0,[ 1  3  2  0  8 17  7  6 18 13  9 12 16 10 11 19  4 15 14  5]
pqap_20_17,21,67710,[15 10  6  1  2 11  3  4  5 16 14 17 13 19 12  9 18  8  0  7],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",216.0,[12  7 19 15 10 16 17  2 18  9  3  4  0 13  5  6 14  1  8 11],560.0,[12 10 11 13 15  9 17  4  0  8  3  7 16  6 18  1 14  5 19  2],1728.0,[19 18 17 16 15 14 13 12 11 10  9  2  5  1  4  7  6  3  0  8],3504.0,[17 11  9  3  6  2 18  0 19 16 12 14  1  5  4 15 13 10  8  7]
pqap_20_22,20,92106,[17  4  0 13  1  5  6 10 15 18 12  2  7 19  8 16  9  3 11 14],"['START', '3O', 'FW', 'OC', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",268.0,[ 1 10 18 15 17  6  5 16  7  0  4 19  9  2 12 11 14 13  8  3],640.0,[ 0  3 10 12 17  2  1  9 14  6  8 13 18  4 16 11 15  5 19  7],2164.0,[19 18 17 16 15 14 13 12 11 10  9  3  6  4  5  1  0  7  2  8],4400.0,[ 7 15 16  1 18 12 10 19 17  8  3 13 14  0  9  6  2  4 11  5]
pqap_20_27,18,99344,[15 14  2  4 18 12  0  5 16 13 17 10 19  7  3 11  6  1  8  9],"['START', '3O', 'FW', 'OP', 'SA', 'OC', 'SA', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",188.0,[ 7  6  1 16 13 10  0 18  8  5 14 11 19  3 15 12 17  2  4  9],512.0,[ 2 19  0 13 10 12 14 16  3  1 17  8 15  5  7 18  9  4 11  6],1520.0,[19 18 17 16 15 14 13 12 11 10  9  4  3  7  2  5  0  8  6  1],3596.0,[17  2 15 12  8 16 11 13 18  4  7  5 10 19 14  3  0  6  9  1]
pqap_20_28,20,86100,[16  4 15  8 14 12 13 19  3  1  5 10  0 17 11  7  6  2 18  9],"['START', '2O', 'FW', 'OC', 'FW_LS', '2O']",288.0,[ 7  2 10 14  9  5  6 18  4  1 12 16  0 17  8 15 13  3 19 11],1216.0,[ 7  8 10  9  0 12  6  5 16 14 15 18  1 13 17 11  3 19  4  2],2468.0,[19 18 17 16 15 14 13 12 11 10  9  0  6  3  1  7  4  2  8  5],5184.0,[ 6  8 11 10 14 13  5  2  7  0 12  9 15 16 19 18  4  3 17  1]
pqap_20_30,21,121002,[ 8  7  4  9  5 16 19 17 11 18  0 12  2  6 10  1  3 15 14 13],"['START', 'FW_LS', '2O', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",292.0,[ 6  7  4  9 14 17 19 16 11 18  1 10  2  8 12  0  3 15  5 13],996.0,[ 1  0 13  2 18 16 19 12  6 10 15 11  9 17 14  5  7  3  4  8],1676.0,[19 18 17 16 15 14 13 12 11 10  9  3  5  8  4  2  7  0  1  6],7380.0,[ 5  2  7 14  4  6  9  8 11 19 10 12 16 13 18 15  0 17  3  1]
pqap_20_33,21,96336,[ 0 11  1  3 18 19 13  9 10  8  7  2 12 17 16  4  5 14 15  6],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'SA', 'SA', 'OC', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",0.0,[ 0 11  1  3 18 19 13  9 10  8  7  2 12 17 16  4  5 14 15  6],940.0,[10  7 16  8  4  5  0  6  3 11 12 13 17  1  2 15 14 18  9 19],1488.0,[19 18 17 16 15 14 13 12 11 10  9  2  6  5  7  0  3  8  1  4],4968.0,[13  0 14  4  1  8  2  3  6  5  9  7 12 10 18 11 16 15 19 17]
pqap_20_34,20,83520,[17 16  8 13  6  4  9  1 15 14  0 19 18  3 12  5  7 10  2 11],"['START', 'FW_LS', '2O', 'OC', 'FW_LS', 'FW_LS', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",172.0,[17  3  8 13  6  4  9 16 14  2 15 19 18  1 12  5  7 10  0 11],940.0,[15  6  9  1  7 19 18  2 16 13 12 10 14  4  8  5  3  0 11 17],2728.0,[19 18 17 16 15 14 13 12 11 10  9  4  5  0  7  6  8  1  2  3],4464.0,[ 7 10  3 15 16 17  4 11  2 13  0  8  9 19 18 12 14  5  6  1]
pqap_20_36,20,84500,[12  6 17 13 18  4  2  8 10 19  7 11  3  0 15  9  1 16  5 14],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', 'OC', 'SA', 'SA', 'SA', 'OC', '3PO', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",176.0,[12  6 11 15 18  5  2  9 10 19 14 16  3  0  7  8  1 17  4 13],668.0,[17  0 18  2 10 15  5 14  9 11  6  1 19 16 12 13  8  4  3  7],1808.0,[19 18 17 16 15 14 13 12 11 10  9  4  6  1  3  0  8  5  2  7],3208.0,[13  9 10 16  5  7 15  0 14  2  4 17  6  8 19 18  3  1 11 12]
pqap_20_53,20,111800,[13  8  6 10  2 17  4  3  5 12  1 14 19 11  0  7 16 15  9 18],"['START', '2PO', '2O', 'OC', 'SA', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",0.0,[13  8  6 10  2 17  4  3  5 12  1 14 19 11  0  7 16 15  9 18],820.0,[ 7 15 10 11  1 18 14 12 17  3  2  8 13  6  5 19  4  0  9 16],2852.0,[19 18 17 16 15 14 13 12 11 10  9  8  4  0  5  6  1  2  3  7],5476.0,[13 10  9  7  6  8  2 15  0  4 14 16  1 18 11  5 12 17  3 19]
pqap_20_61,19,54516,[ 7 19 14 11  9 12 16  0  2  8 15  4 18 10 13 17  6  3  5  1],"['START', 'SA', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",92.0,[ 7  6  0 11  9 12 16 14 19  8 15  4 18 10 13 17  2  3  5  1],416.0,[ 3  2 11 12 15  5  4  1 19 13 18 16  0 14 17  9 10  7  8  6],1296.0,[19 18 17 16 15 14 13 12 11 10  9  1  8  5  4  7  0  6  3  2],2168.0,[ 2 19  1 17  4 16 15  3  9 13  0  8  5 14  6 18 11 10  7 12]
pqap_20_66,20,99200,[16 13  0  6 19  8 17  4  1  9  7 11 15 10 14 18  3  2  5 12],"['START', '2O', 'FW', 'OC', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'OC', 'OC', 'OP', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",256.0,[16 13  1 17 15  8 14  4  0  9 19 11  7 10  2 18  3  6  5 12],664.0,[ 2  0 10 13  8 17  9 19 14 18  3 11  1 15  6  7  4 16  5 12],3364.0,[19 18 17 16 15 14 13 12 11 10  9  8  1  4  6  0  7  2  5  3],3768.0,[ 9 19  5  2  8 17 11  4 16 14  1 10 12  6  3 18  0 13  7 15]
pqap_20_67,19,107880,[ 6 10 14 18 15  0 17  1  4 11  2 16  7 13 19  9 12  3  5  8],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'SA', 'OC', '2O']",272.0,[ 6 16 14 18 15  0 12  1 11  3  2  4  7 13 19  9 17 10  5  8],944.0,[19  7  9  0  6 16 17 11  8 14 18 13 15  5  2  1  3 10  4 12],3924.0,[19 18 17 16 15 14 13 12 11 10  9  1  7  0  8  6  5  2  4  3],6064.0,[10  5 16  9  0 19 18 12 11 15  7 17 13  6  3 14  8  1  2  4]
pqap_20_68,19,96030,[16  5  2  7 10 13 15  0 14 11 19  1 12  6  9  4 18  3 17  8],"['START', '2PO', '2PO', 'OC', 'SA', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",156.0,[11  7 10  0  6 16 17  9 13  4 18  2  5  8 14 15 19 12  3  1],656.0,[ 4  8  5  9  0 15 14  6 13 19 10 18  2  7  1 12 16  3 17 11],4836.0,[19 18 17 16 15 14 13 12 11 10  9  7  2  6  8  1  3  0  5  4],3928.0,[ 8 15 11 16  5  3  7 14  9 10  6 19  2  4 12 13  0 18 17  1]
pqap_20_81,20,73040,[ 4  0 16 11 12  1 17 15 18  8 19 10 13  6  2  3 14  7  5  9],"['START', '3PO', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",240.0,[ 4 14 16 11 12  5 17 19 18  0 15 10  1  8  6  7  2  9 13  3],572.0,[ 7 18 14 10 16 12  4  0  3 13 19  8  6 11 15  2  5  1 17  9],1676.0,[19 18 17 16 15 14 13 12 11 10  9  1  2  6  4  3  5  0  7  8],3444.0,[15 17 16  0 12  6 10  8  2 11 13 19  9  7 14  5  4 18  3  1]
pqap_20_83,20,101036,[ 5 10  9 15  4 19 18 17 16  2  3  0 14 11  6  7  1 13  8 12],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",284.0,[ 4  3 13  0  9 19 18 16 17  8  2 15 14 12  5  6  1  7 10 11],1104.0,[15 11  3 10  2  7  6 12  5  1  8 18  9 16  4 14 13 19  0 17],2136.0,[19 18 17 16 15 14 13 12 11 10  9  5  0  8  1  7  6  2  4  3],5264.0,[17 11 16  0  8  7 19  6  3  2 15 13 10  9 18 12  4  1 14  5]
pqap_20_96,18,76296,[ 2 15 13  6  3  4  7 14  5 18 17 11  1  9 12 16 19  8 10  0],"['START', 'SA', 'FW', 'FW_LS', '2O', '2O', 'OC', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",152.0,[17 15 13  6 12 16  7 14 18  5  2 11  1  9  3  4 19  8 10  0],784.0,[15  7 13  0 11  8 19  6  9  2 12 16 18  1  3 14  5  4 10 17],1956.0,[19 18 17 16 15 14 13 12 11 10  9  5  1  7  8  6  2  3  4  0],4252.0,[19  9 10  1 12 13  3  2  0 17 18  8  7  5  4 11 16  6 14 15]
pqap_20_98,19,76224,[14 19  8 11  5 17 18  9  6  1  3 12 13 16 10  0  2  4  7 15],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",76.0,[14 19  8 15  5 12 13  9  6  1  3 17 18 16 10  0  2  4  7 11],740.0,[19  5  1  4 16 12 10  8 18  7  9  3 13  6 14  0 11 17  2 15],3820.0,[19 18 17 16 15 14 13 12 11 10  9  1  2  0  7  8  6  4  5  3],4392.0,[15  8  4 19 17 18  2  9  7  3 16  1 12 11 10  6 14  5  0 13]
pqap_20_105,20,104040,[18 19 17 12  3 16  1 13 14 11  7 10  9  2  5  4  0 15  6  8],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",252.0,[ 6 18  5 11  8 14  2 17 10  3  9 16 15  1  4 13  0 12  7 19],796.0,[16 12 14  4 10  6  8  1  3 17  7  0 11 13  5  2 19 18 15  9],1632.0,[19 18 17 16 15 14 13 12 11 10  9  0  5  7  8  3  1  4  2  6],3528.0,[ 5  1  4 16  0 12 17 10 13  9  3  2 18  6 11 19 14  8  7 15]
pqap_20_108,21,59712,[11  6  8  2  3 19 12  7  5 15 10 18 14  4 17 16  0 13  1  9],"['START', '2O', 'FW', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",144.0,[ 3  8 15 19 11  2  4 12  9 10  6  1 18  7  0 14 13 17 16  5],536.0,[ 1 19  9  0  2 14 12 16  5  3 11 17 10  8 18  6 15  7  4 13],3044.0,[19 18 17 16 15 14 13 12 11 10  9  3  6  4  5  0  2  7  1  8],4008.0,[ 8 19  2 13 10  1 16  0 14  4  6 17 15 18  9  5  7  3 12 11]
pqap_20_120,21,116736,[16  8 10  4 15  2  7  9  5  0 18 11 14 17  1 12  3 13  6 19],"['START', 'SA', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'SA', 'OC', 'OC', '2O', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",404.0,[ 8 19  9  7  4 13 11  6 18  0 10 15  1 16  3 12  5  2 17 14],652.0,[14  3 15  4 13  0 18 11 17 16  9  6 19  5 10  2  8  7 12  1],2000.0,[19 18 17 16 15 14 13 12 11 10  9  2  6  1  5  8  3  0  7  4],9024.0,[ 6  9 13 19 10  8  2 17 12 15 16  5  0 14  7 11 18  1  3  4]
pqap_20_125,20,85410,[ 1  0  9 14 15  2 16  5  6 18  3 19  7  4 13 11 12 10  8 17],"['START', 'SA', 'FW', 'FW', 'OC', 'SA', 'SA', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",136.0,[ 1  0  9 15 12  7 16  5  6 17  8 19  2  4 13 11 14 10  3 18],448.0,[ 0  1 16  3 17 18 11  4  2 12 15 10  6 19  8  7 13 14  9  5],2252.0,[19 18 17 16 15 14 13 12 11 10  9  7  3  4  0  6  1  5  2  8],2532.0,[ 8  5 19 10 17  2 12  3  7 18 14 15  0  1 13 11  6  9  4 16]
pqap_20_140,20,105530,[ 3 15 10  1 18 12 14 17  8  2  6 16  4  7 11  9  0  5 13 19],"['START', 'SA', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', '3O', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",312.0,[ 5 15 10  1 18 12 13 17 11  2  4 16  6  7  8  9  0  3 14 19],832.0,[ 2  8  7 18  1  9 10  6 17  4  0 12  3 16  5 15 19 11 14 13],1932.0,[19 18 17 16 15 14 13 12 11 10  9  1  6  3  8  4  5  2  0  7],3980.0,[ 5 15  7  6  3  8 12 14  9 18  0  4  1 19 13 17 11  2 10 16]
pqap_20_144,19,81120,[ 9  7 16  3  5 10 11 14 12  6  8 18  4  1  0  2 19 15 17 13],"['START', '2O', 'FW', 'OC', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",100.0,[ 8  7 16 12  5 10 11 14  9  6  2 18  4  1  0  3 19 15 17 13],656.0,[10  2 17  1 16  9 14 12  3 19 18  5  0 13  7 15 11  4  8  6],2412.0,[19 18 17 16 15 14 13 12 11 10  9  2  7  4  6  5  8  1  0  3],6532.0,[14 13  1 10 16  3 15  5  8  0 11  6  9  2  4 18 12  7 17 19]
pqap_20_147,20,85410,[ 2  4  3  7 10  6  0 17 16  9 12 13 14  5 18  8  1 19 15 11],"['START', '3O', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",200.0,[ 3 16  7  4  9  0 19 10 15 11  2  6 18 14  1 17 13  5  8 12],840.0,[ 4 13  5 17 10 15  8  2 16 18 11 12  3 14  7 19  1  6  0  9],1888.0,[19 18 17 16 15 14 13 12 11 10  8  9  7  1  6  5  3  2  0  4],7536.0,[17  6  8 18  1  7 14  4 12 16  0  2 13 15 10  3 11 19  5  9]
pqap_20_148,21,110502,[10  2 15  8 14  1  3 12 11  4  9  5  7 16 13 17  0 19  6 18],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', '2O']",208.0,[14  2 11  8 10  1  3 12 15  4 13  5  7 16  9 18  0 19  6 17],668.0,[ 9  0  3 16 11 14 13  7  2  8 17  1  4 18 10 15  6 19  5 12],3844.0,[19 18 17 16 15 14 13 12 11 10  9  6  2  0  7  4  8  1  3  5],4084.0,[ 2 19  8  9  4 12 15  6  0 17 13 18  7 14  5 16 10 11  3  1]
pqap_20_171,18,63640,[ 7 17  8  1 16 12  0  9 11 15 13  3  5 10 18 14  4 19  6  2],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",156.0,[11 14  9  0  2 18 12 15 17  4 19  6 10 16  1  7  8  3 13  5],284.0,[17  7 15  2  8 19  1  6 11  9 18  3 13  5  4 14 16 10 12  0],1668.0,[19 18 17 16 15 14 13 12 11 10  9  4  8  1  7  5  6  0  3  2],2300.0,[ 1 18  5 16 13  8  7 12 17 10  2 14 19  6 11  4  9  3 15  0]
pqap_20_176,18,55056,[19 11  9  0 18 14 16  7  6 17  8 12 13  4  1 10  3  2  5 15],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",164.0,[19  0  8 16 18 14 11  7  5 17  4  1  3 10 15  2 13 12  6  9],660.0,[11  9  2 18  5 13  4 19 14  8  7 15 12  3  0  6 16  1 10 17],1804.0,[19 18 17 16 15 14 13 12 11 10  9  7  4  8  1  2  6  5  0  3],2232.0,[ 1 15  9 10  3 13  5  6 11 14  8 17 18  2  7  4 19 16  0 12]
