instance,time_taken,optimal_cost,global_optimal_solution,rl_actions,rl_gap,rl_permutation,sa_gap,sa_permutation,bb_gap,bb_permutation,gurobi_gap,gurobi_permutation
pqap_40_1,27,626304,"[33  8  3 27 38 10 16 39  9 18 21 20 25 30 24  5 15  2 29 26  4 17 22  6
 36  7 31 34  1 14 28 13 35 19 37 32 11 12 23  0]","['START', '2O', 'FW', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",2480.0,"[ 4 27  0 39 19  7  1  5 14 33 23  8  6 13 16 29 17 32 38 11  2 22 21 10
 15 12 36 26 24 28 18 37 31 35  3  9 25 34 20 30]",6072.0,"[21 39 14  0 22 32 12  1 33 26 20 30 37 25 31  9 23 17  4  6 35 16  2 18
  7 11  3 27 19 34 36  8  5 10 15 28 38 29 24 13]",14496.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  5  7  4  8  1  2  0  6  3]",24548.0,"[16 35 23 31  2 14 24 15 39  5 26 19  4 32 22 34  7  6  0 25 11 10  3  8
 17 18  9 38 36  1 12 21 33 30 13 37 29 27 20 28]"
pqap_40_2,29,521708,"[ 8 18  1 38 27 19 32  0 35  6 15 21  9 23 33 12 13 16  4  2 37 28 29 36
 20  5 10 25 34 24 22 26 11 17 30 14 39  7  3 31]","['START', '2O', 'FW', 'OC', 'OC', 'OC', 'OC', '3O', '2O']",2408.0,"[15 30 19 18  4 25 10  3  8 38 21  7 12 31 32 23 35 26 24  5 34 16 29  6
  1 37 11  2 27  0 13 17 22 14 28 20 39 36 33  9]",4444.0,"[36 10 12 34  5  0  7 13 39 14 23 18  3 33  8 30 25 27 19  9 21 38  4 20
 15  1 17 31 22  2 11 28 32 37 29  6 26 35 16 24]",17716.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  5  7  2  4  6  3  1  0  8]",22804.0,"[10 32 37 30 18 36 11 12  8  1 39 17 26  9 35 25 29 22  4  2 19 15 38 13
  3 23  0 21 33 31  6 14 27 34  5 20 24 28 16  7]"
pqap_40_5,28,577174,"[22 37  2 36 26 39 29 31 20  5 15 24 32  1 14  3  7 17 33 34 23  9 30 25
 16 12  0 13 21 11 28 27 35 10  8 38  6 18  4 19]","['START', '2O', 'FW', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",2788.0,"[15  2 28 23 30 21  7  3 32  6 20 11 17 12 29 31 34 26 10 14 37 18 24 13
 25  1 39 16 33 27 38 36  5 22 19  9 35  0  4  8]",5420.0,"[29  7 35 38 26 32 16 36  3 20 11 28 13 17  8 33 27  9 22 24  2  1 23 14
 25  5 15 34 37 31  0 21 10 19 30 39  4 12  6 18]",13680.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  5  3  2  4  7  6  0  8  1]",26884.0,"[30  9 36  2 38 11 23 14 12 19 21 24  0 26 17 18  8 28  6 20 13 32 34 37
 39  4 22 25  7 10 16  3 29 33 31 27 35  5  1 15]"
pqap_40_11,28,673764,"[ 1 36  4 35 37 38 11 24 20  0  5 34 18 15 32 39 29  9  6 26 28  2  3  7
 22  8 14 27 19 12 25 21 31 33 13 30 23 10 17 16]","['START', 'FW_LSG', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",2260.0,"[36 17 11 26 38 23  8 34 22 21  7 37 24 32 39  0 13  2 14  1  9 12 10  6
  4 35 16  3 27  5 15 18 33 30 28 29 31 25 20 19]",4596.0,"[26 19 25 36 12  2 11 21 27 34 22 29  4 32 23 18 17 14 10  7 28 24  0 20
 37 16  8  6 38  9 30 39 15  1  3  5 33 31 13 35]",11100.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  7  6  5  8  0  4  1  3  2]",23980.0,"[34 17 26  1 38 39 25 18 31 24 15 10  5 23 29  7 28 37 32 20 13  8 11  4
  6 19 12 27 22 16 33 21  0 35  2  3  9 14 36 30]"
pqap_40_16,28,442372,"[34 31 19 22 20 32  2 39 30 11 12 18 21  1  0 24 28  6 38  8 29 14 26  3
 25  4 15 10  9 13 36  5 35 16 27 33 23  7 37 17]","['START', 'SA', 'FW', 'FW_LS', '2O', '2O', '2O', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",1872.0,"[37 23  4 28 30 11 14 12 17 15 10  9  8 19  7  2 32 20 39 16 38 25 24 21
  5 13  1 22 27  0 35  6 18  3 26 34 29 36 31 33]",3880.0,"[ 2 10 35 25 14  9 38 11  1 24 31 23 26 34 15 32 13 36  0 22  8 19 29 18
 30  4 16 39 37 28  3 33 12 27 17 21 20  7  5  6]",13800.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  6  5  3  8  2  1  7  4  0]",13520.0,"[ 0 23  4  9 20  8 36 15 38 34 13 33 27  2  1 16 28  5 11 10 24 14 25 22
 29 32  3 12  6 31 35 21 17 19  7 18 30 37 39 26]"
pqap_40_20,27,686178,"[ 3 12  4  0 19 33 13 32 27 30 14 39 25 20 16 21 37  1  8 31  5 15 10 17
  2  6 22 23 36 34 29 26 24 18 38 35 28  9 11  7]","['START', '2O', 'FW', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', '2PO', 'OC', 'OC', 'OC', 'SA', '2O']",2172.0,"[33  3 22  5 31 35  6 10 16 34 20 27 15 36 28 19 11 23  9 12  0 30 21 26
  2 13 37 24  8 32 17 14 38 25  7 18 29 39  1  4]",5448.0,"[36 10 15 35 17 27 19 22 16 28 25  0 32 11 18 12 24 30 20 23 13 26 31 21
 37 38  8 29  6  4 34  5 39  9  2 33 14  3  7  1]",25352.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  2  5  1  6  7  0  4  8  3]",26156.0,"[38 35 13 12  0 25 11  5 26 10  9 21 36 14 23 30 39  7 32 16 22 29 17  2
 27 33 19 24 20  6  1  4  3 18 31 37 15 28  8 34]"
pqap_40_24,28,680202,"[ 5 28 21  7 22  8 31 33 19 23 39 11  4 34 25 15 36  0 20 32 17 18  9 24
 26 37 14 35 16  3 38 13 10  6 27  1 12 30  2 29]","['START', '2O', 'FW', 'OP', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",2732.0,"[ 3 15 32 12 11 25  6  7 28  9 22 26  5  8 37 29 17  0 23 19 34 39 13 35
 21 31 16 24 27  1 18 10 36 30 33  2 38 14  4 20]",5868.0,"[33 32 16 26  2 13 34  7 17 35 30 39 38 21 29 11  8 25  9 10  0  6 19 27
 37 24 28  4 12 18  3  1 23 14 31  5 22 15 20 36]",14984.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  0  3  5  8  6  1  2  4  7]",30600.0,"[26 34 32 22 29  2 18 10 12  3 36 30  1 15  7 33 13  8 28 20 31 21 38 37
  0 24 14  9 35 16 23  5 19  6 27 39 11  4 17 25]"
pqap_40_26,27,679056,"[31  0 34 32 17  7 23 20 21  5  6  2 29  4 30  8 15 19 26 33 14 25 10 39
 27 18  1 22 28 36 16 12 24 11 35 13  9 37 38  3]","['START', '2O', 'FW', 'FW', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",2304.0,"[10 27 12  1 19 21 34 25 20 16  3 23 26 30 13 32 38  6 36 39 33  0  5 35
  8 22 29 37 15  7 14  9 24 31 18 11  4  2 28 17]",5060.0,"[ 7  8 14  1 32 33 17  6 12 27 39 10 35 16 29 23 25 19 11 28 36 24 30 38
  2 21 18  9 34  4 22 15 13  0  5 31 26 37  3 20]",19844.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  1  4  5  7  2  0  6  8  3]",18300.0,"[ 1 11 16 18 19 24 23  5  8  4  9 37 20 10 27 32 35 34 25  2 33 38 21 30
  6  7 36 31 12 14 17 28  0  3 29 39 26 22 13 15]"
pqap_40_27,27,680748,"[27 26  3  6 32 22  1  8 28 25 29 18 39 12  5 19 10  2 13 17 14 24 37 38
 30 36 20 34 15  7  0 11  4 16 33 35 31  9 23 21]","['START', '2O', 'FW', 'OC', 'OC', 'SA', '2O']",2636.0,"[24  1 11 38 25  9 14 18 23 28 19  0 33 26 21  4 39  5  2  3 35  6 36 34
 13 27 15 29 20 17 16  8 31  7 30 32 37 22 12 10]",5428.0,"[38 14 34 12  8  4 28 33 31 19 27  0 20  3 39  6 16 13  5 36  7 24 30 35
 32 21 26 37  2 11 18 29 23 15 22  9 25 10 17  1]",16284.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  2  5  3  6  1  7  4  8  0]",20272.0,"[11 14 16  1 18  5 30 20 34 33 31  0 27 36 19 23  2 13  9 38 26  6 10  3
 24  7 29  8 32 37  4 15 17 21 39 12 35 25 28 22]"
pqap_40_32,28,756432,"[14 32 18 11 27 23 28  5  4  9  7 39 15  6 29 19 34 30 13 35  2 20  1 24
 31  0 10 38 22 36  8 16 25 26 21 37 17 33  3 12]","['START', '2O', 'FW', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",2640.0,"[23 36  3  0 19 39 15 34 38 26 20  6 17 22 10 28 21 13  8 16 35 33  9 30
 32 12 37  2 25 11 31  4 24 29  1 27  5 14 18  7]",5276.0,"[35 19 33 34 14 12 16  2 36 28 11 21 25  5  0 24  1 31  9 30 39 15  6 13
 18  8 17  4 22 26 23  7 29 27  3 20 38 10 37 32]",20868.0,"[39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 15 14 13 12 11 10  9  3  6  2  4  5  0  8  7  1]",20412.0,"[ 3  9 26 12 31 30 28 15 13 10  4 37 24 18 39 33 19 14 32 34 29  6  5  0
 16 21 35  2 17 27 20 23  1 11 38  7  8 22 25 36]"
